,ngram,age,words,lookup_index,child,length
89,AAA,1.9,"('pop', 'pop', 'pop')",83,Alex (Providence),3
90,AAA,1.9,"('pop', 'pop', 'pop')",83,Alex (Providence),3
91,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",83,Alex (Providence),4
92,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",83,Alex (Providence),4
93,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",83,Alex (Providence),4
94,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",83,Alex (Providence),4
95,AA,1.9,"('pop', 'pop')",84,Alex (Providence),2
96,AA,1.9,"('pop', 'pop')",84,Alex (Providence),2
97,AA,1.9,"('pop', 'pop')",84,Alex (Providence),2
98,AA,1.9,"('pop', 'pop')",84,Alex (Providence),2
99,AA,1.9,"('pop', 'pop')",84,Alex (Providence),2
100,AA,1.9,"('pop', 'pop')",84,Alex (Providence),2
101,AAA,1.9,"('pop', 'pop', 'pop')",84,Alex (Providence),3
102,AAA,1.9,"('pop', 'pop', 'pop')",84,Alex (Providence),3
103,AAA,1.9,"('pop', 'pop', 'pop')",84,Alex (Providence),3
104,AAA,1.9,"('pop', 'pop', 'pop')",84,Alex (Providence),3
105,AAA,1.9,"('pop', 'pop', 'pop')",84,Alex (Providence),3
106,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",84,Alex (Providence),4
107,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",84,Alex (Providence),4
108,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",84,Alex (Providence),4
109,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",84,Alex (Providence),4
110,AA,1.9,"('pop', 'pop')",85,Alex (Providence),2
111,AA,1.9,"('pop', 'pop')",85,Alex (Providence),2
112,AA,1.9,"('pop', 'pop')",85,Alex (Providence),2
113,AA,1.9,"('pop', 'pop')",85,Alex (Providence),2
114,AA,1.9,"('pop', 'pop')",85,Alex (Providence),2
115,AA,1.9,"('pop', 'pop')",85,Alex (Providence),2
116,AA,1.9,"('pop', 'pop')",85,Alex (Providence),2
117,AAA,1.9,"('pop', 'pop', 'pop')",85,Alex (Providence),3
118,AAA,1.9,"('pop', 'pop', 'pop')",85,Alex (Providence),3
119,AAA,1.9,"('pop', 'pop', 'pop')",85,Alex (Providence),3
120,AAA,1.9,"('pop', 'pop', 'pop')",85,Alex (Providence),3
121,AAA,1.9,"('pop', 'pop', 'pop')",85,Alex (Providence),3
122,AAA,1.9,"('pop', 'pop', 'pop')",85,Alex (Providence),3
123,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",85,Alex (Providence),4
124,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",85,Alex (Providence),4
125,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",85,Alex (Providence),4
126,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",85,Alex (Providence),4
127,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",85,Alex (Providence),4
128,AA,1.9,"('pop', 'pop')",86,Alex (Providence),2
129,AA,1.9,"('pop', 'pop')",86,Alex (Providence),2
130,AA,1.9,"('pop', 'pop')",86,Alex (Providence),2
131,AA,1.9,"('pop', 'pop')",86,Alex (Providence),2
132,AA,1.9,"('pop', 'pop')",86,Alex (Providence),2
133,AA,1.9,"('pop', 'pop')",86,Alex (Providence),2
134,AA,1.9,"('pop', 'pop')",86,Alex (Providence),2
135,AAA,1.9,"('pop', 'pop', 'pop')",86,Alex (Providence),3
136,AAA,1.9,"('pop', 'pop', 'pop')",86,Alex (Providence),3
137,AAA,1.9,"('pop', 'pop', 'pop')",86,Alex (Providence),3
138,AAA,1.9,"('pop', 'pop', 'pop')",86,Alex (Providence),3
139,AAA,1.9,"('pop', 'pop', 'pop')",86,Alex (Providence),3
140,AAA,1.9,"('pop', 'pop', 'pop')",86,Alex (Providence),3
141,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",86,Alex (Providence),4
142,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",86,Alex (Providence),4
143,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",86,Alex (Providence),4
144,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",86,Alex (Providence),4
145,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",86,Alex (Providence),4
146,AA,1.9,"('pop', 'pop')",87,Alex (Providence),2
147,AA,1.9,"('pop', 'pop')",87,Alex (Providence),2
148,AA,1.9,"('pop', 'pop')",87,Alex (Providence),2
149,AA,1.9,"('pop', 'pop')",87,Alex (Providence),2
150,AA,1.9,"('pop', 'pop')",87,Alex (Providence),2
151,AA,1.9,"('pop', 'pop')",87,Alex (Providence),2
152,AA,1.9,"('pop', 'pop')",87,Alex (Providence),2
153,AA,1.9,"('pop', 'pop')",87,Alex (Providence),2
154,AAA,1.9,"('pop', 'pop', 'pop')",87,Alex (Providence),3
155,AAA,1.9,"('pop', 'pop', 'pop')",87,Alex (Providence),3
156,AAA,1.9,"('pop', 'pop', 'pop')",87,Alex (Providence),3
157,AAA,1.9,"('pop', 'pop', 'pop')",87,Alex (Providence),3
158,AAA,1.9,"('pop', 'pop', 'pop')",87,Alex (Providence),3
159,AAA,1.9,"('pop', 'pop', 'pop')",87,Alex (Providence),3
160,AAA,1.9,"('pop', 'pop', 'pop')",87,Alex (Providence),3
161,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",87,Alex (Providence),4
162,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",87,Alex (Providence),4
163,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",87,Alex (Providence),4
164,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",87,Alex (Providence),4
165,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",87,Alex (Providence),4
166,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",87,Alex (Providence),4
167,AA,1.9,"('pop', 'pop')",88,Alex (Providence),2
168,AA,1.9,"('pop', 'pop')",88,Alex (Providence),2
169,AA,1.9,"('pop', 'pop')",88,Alex (Providence),2
170,AA,1.9,"('pop', 'pop')",88,Alex (Providence),2
171,AA,1.9,"('pop', 'pop')",88,Alex (Providence),2
172,AA,1.9,"('pop', 'pop')",88,Alex (Providence),2
173,AA,1.9,"('pop', 'pop')",88,Alex (Providence),2
174,AA,1.9,"('pop', 'pop')",88,Alex (Providence),2
175,AAA,1.9,"('pop', 'pop', 'pop')",88,Alex (Providence),3
176,AAA,1.9,"('pop', 'pop', 'pop')",88,Alex (Providence),3
177,AAA,1.9,"('pop', 'pop', 'pop')",88,Alex (Providence),3
178,AAA,1.9,"('pop', 'pop', 'pop')",88,Alex (Providence),3
179,AAA,1.9,"('pop', 'pop', 'pop')",88,Alex (Providence),3
180,AAA,1.9,"('pop', 'pop', 'pop')",88,Alex (Providence),3
181,AAA,1.9,"('pop', 'pop', 'pop')",88,Alex (Providence),3
182,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",88,Alex (Providence),4
183,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",88,Alex (Providence),4
184,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",88,Alex (Providence),4
185,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",88,Alex (Providence),4
186,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",88,Alex (Providence),4
187,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",88,Alex (Providence),4
188,AA,1.9,"('pop', 'pop')",89,Alex (Providence),2
189,AA,1.9,"('pop', 'pop')",89,Alex (Providence),2
190,AA,1.9,"('pop', 'pop')",89,Alex (Providence),2
191,AA,1.9,"('pop', 'pop')",89,Alex (Providence),2
192,AA,1.9,"('pop', 'pop')",89,Alex (Providence),2
193,AA,1.9,"('pop', 'pop')",89,Alex (Providence),2
194,AA,1.9,"('pop', 'pop')",89,Alex (Providence),2
195,AA,1.9,"('pop', 'pop')",89,Alex (Providence),2
196,AA,1.9,"('pop', 'pop')",89,Alex (Providence),2
197,AA,1.9,"('pop', 'pop')",89,Alex (Providence),2
198,AAA,1.9,"('pop', 'pop', 'pop')",89,Alex (Providence),3
199,AAA,1.9,"('pop', 'pop', 'pop')",89,Alex (Providence),3
200,AAA,1.9,"('pop', 'pop', 'pop')",89,Alex (Providence),3
201,AAA,1.9,"('pop', 'pop', 'pop')",89,Alex (Providence),3
202,AAA,1.9,"('pop', 'pop', 'pop')",89,Alex (Providence),3
203,AAA,1.9,"('pop', 'pop', 'pop')",89,Alex (Providence),3
204,AAA,1.9,"('pop', 'pop', 'pop')",89,Alex (Providence),3
205,AAA,1.9,"('pop', 'pop', 'pop')",89,Alex (Providence),3
206,AAA,1.9,"('pop', 'pop', 'pop')",89,Alex (Providence),3
207,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",89,Alex (Providence),4
208,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",89,Alex (Providence),4
209,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",89,Alex (Providence),4
210,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",89,Alex (Providence),4
211,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",89,Alex (Providence),4
212,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",89,Alex (Providence),4
213,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",89,Alex (Providence),4
214,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",89,Alex (Providence),4
215,AA,1.9,"('pop', 'pop')",90,Alex (Providence),2
216,AA,1.9,"('pop', 'pop')",90,Alex (Providence),2
217,AA,1.9,"('pop', 'pop')",90,Alex (Providence),2
