,ngram,age,lookup_index,child,length
86,"('NOUN', 'NOUN', 'NOUN')",1.9,83,Alex (Providence),3
87,"('NOUN', 'NOUN', 'NOUN')",1.9,83,Alex (Providence),3
88,"('NOUN', 'NOUN', 'NOUN')",1.9,83,Alex (Providence),3
89,"('NOUN', 'NOUN', 'NOUN')",1.9,83,Alex (Providence),3
90,"('NOUN', 'NOUN', 'NOUN')",1.9,83,Alex (Providence),3
91,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,83,Alex (Providence),4
92,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,83,Alex (Providence),4
93,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,83,Alex (Providence),4
94,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,83,Alex (Providence),4
95,"('NOUN', 'NOUN')",1.9,84,Alex (Providence),2
96,"('NOUN', 'NOUN')",1.9,84,Alex (Providence),2
97,"('NOUN', 'NOUN')",1.9,84,Alex (Providence),2
98,"('NOUN', 'NOUN')",1.9,84,Alex (Providence),2
99,"('NOUN', 'NOUN')",1.9,84,Alex (Providence),2
100,"('NOUN', 'NOUN')",1.9,84,Alex (Providence),2
101,"('NOUN', 'NOUN', 'NOUN')",1.9,84,Alex (Providence),3
102,"('NOUN', 'NOUN', 'NOUN')",1.9,84,Alex (Providence),3
103,"('NOUN', 'NOUN', 'NOUN')",1.9,84,Alex (Providence),3
104,"('NOUN', 'NOUN', 'NOUN')",1.9,84,Alex (Providence),3
105,"('NOUN', 'NOUN', 'NOUN')",1.9,84,Alex (Providence),3
106,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,84,Alex (Providence),4
107,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,84,Alex (Providence),4
108,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,84,Alex (Providence),4
109,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,84,Alex (Providence),4
110,"('NOUN', 'NOUN')",1.9,85,Alex (Providence),2
111,"('NOUN', 'NOUN')",1.9,85,Alex (Providence),2
112,"('NOUN', 'NOUN')",1.9,85,Alex (Providence),2
113,"('NOUN', 'NOUN')",1.9,85,Alex (Providence),2
114,"('NOUN', 'NOUN')",1.9,85,Alex (Providence),2
115,"('NOUN', 'NOUN')",1.9,85,Alex (Providence),2
116,"('NOUN', 'NOUN')",1.9,85,Alex (Providence),2
117,"('NOUN', 'NOUN', 'NOUN')",1.9,85,Alex (Providence),3
118,"('NOUN', 'NOUN', 'NOUN')",1.9,85,Alex (Providence),3
119,"('NOUN', 'NOUN', 'NOUN')",1.9,85,Alex (Providence),3
120,"('NOUN', 'NOUN', 'NOUN')",1.9,85,Alex (Providence),3
121,"('NOUN', 'NOUN', 'NOUN')",1.9,85,Alex (Providence),3
122,"('NOUN', 'NOUN', 'NOUN')",1.9,85,Alex (Providence),3
123,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,85,Alex (Providence),4
124,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,85,Alex (Providence),4
125,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,85,Alex (Providence),4
126,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,85,Alex (Providence),4
127,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,85,Alex (Providence),4
128,"('NOUN', 'NOUN')",1.9,86,Alex (Providence),2
129,"('NOUN', 'NOUN')",1.9,86,Alex (Providence),2
130,"('NOUN', 'NOUN')",1.9,86,Alex (Providence),2
131,"('NOUN', 'NOUN')",1.9,86,Alex (Providence),2
132,"('NOUN', 'NOUN')",1.9,86,Alex (Providence),2
133,"('NOUN', 'NOUN')",1.9,86,Alex (Providence),2
134,"('NOUN', 'NOUN')",1.9,86,Alex (Providence),2
135,"('NOUN', 'NOUN', 'NOUN')",1.9,86,Alex (Providence),3
136,"('NOUN', 'NOUN', 'NOUN')",1.9,86,Alex (Providence),3
137,"('NOUN', 'NOUN', 'NOUN')",1.9,86,Alex (Providence),3
138,"('NOUN', 'NOUN', 'NOUN')",1.9,86,Alex (Providence),3
139,"('NOUN', 'NOUN', 'NOUN')",1.9,86,Alex (Providence),3
140,"('NOUN', 'NOUN', 'NOUN')",1.9,86,Alex (Providence),3
141,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,86,Alex (Providence),4
142,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,86,Alex (Providence),4
143,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,86,Alex (Providence),4
144,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,86,Alex (Providence),4
145,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,86,Alex (Providence),4
146,"('NOUN', 'NOUN')",1.9,87,Alex (Providence),2
147,"('NOUN', 'NOUN')",1.9,87,Alex (Providence),2
148,"('NOUN', 'NOUN')",1.9,87,Alex (Providence),2
149,"('NOUN', 'NOUN')",1.9,87,Alex (Providence),2
150,"('NOUN', 'NOUN')",1.9,87,Alex (Providence),2
151,"('NOUN', 'NOUN')",1.9,87,Alex (Providence),2
152,"('NOUN', 'NOUN')",1.9,87,Alex (Providence),2
153,"('NOUN', 'NOUN')",1.9,87,Alex (Providence),2
154,"('NOUN', 'NOUN', 'NOUN')",1.9,87,Alex (Providence),3
155,"('NOUN', 'NOUN', 'NOUN')",1.9,87,Alex (Providence),3
156,"('NOUN', 'NOUN', 'NOUN')",1.9,87,Alex (Providence),3
157,"('NOUN', 'NOUN', 'NOUN')",1.9,87,Alex (Providence),3
158,"('NOUN', 'NOUN', 'NOUN')",1.9,87,Alex (Providence),3
159,"('NOUN', 'NOUN', 'NOUN')",1.9,87,Alex (Providence),3
160,"('NOUN', 'NOUN', 'NOUN')",1.9,87,Alex (Providence),3
161,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,87,Alex (Providence),4
162,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,87,Alex (Providence),4
163,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,87,Alex (Providence),4
164,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,87,Alex (Providence),4
165,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,87,Alex (Providence),4
166,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,87,Alex (Providence),4
167,"('NOUN', 'NOUN')",1.9,88,Alex (Providence),2
168,"('NOUN', 'NOUN')",1.9,88,Alex (Providence),2
169,"('NOUN', 'NOUN')",1.9,88,Alex (Providence),2
170,"('NOUN', 'NOUN')",1.9,88,Alex (Providence),2
171,"('NOUN', 'NOUN')",1.9,88,Alex (Providence),2
172,"('NOUN', 'NOUN')",1.9,88,Alex (Providence),2
173,"('NOUN', 'NOUN')",1.9,88,Alex (Providence),2
174,"('NOUN', 'NOUN')",1.9,88,Alex (Providence),2
175,"('NOUN', 'NOUN', 'NOUN')",1.9,88,Alex (Providence),3
176,"('NOUN', 'NOUN', 'NOUN')",1.9,88,Alex (Providence),3
